Region,MODIS_LST_C_Land_Surface_Temperature,MODIS_NDVI_Vegetation_Indices,GLDAS_Total_Water_Storage
West Africa,33.73133562,3646.508654,583.5706185
Central Africa,33.42368585,4825.434374,840.2384196
East Africa North,31.79226098,4755.978654,738.6035917
East Africa Central,37.07487094,3555.052124,701.3834155
East Africa South,27.24231161,6269.864845,786.9007648
Southeast Asia,24.32586412,5678.075178,1102.270697
Arctic Subregion 1,-8.711597707,1680.655894,989.1449148
Arctic Subregion 2,-5.722887352,1878.611283,979.340267
Arctic Subregion 3,-11.94646554,526.2140403,758.5237098
Arctic Subregion 4,-16.08226328,-257.3829631,978.7680581
Arctic Subregion 5,-17.75065894,146.8659486,920.9971504
Arctic Subregion 6,-17.97437008,371.6520346,705.8796377
Arctic Subregion 7,-20.85434803,-161.1186049,969.3801596
Arctic Subregion 8,-20.80758701,-351.5045759,2876.640526
